Name,Category,Subcategory,URL,Description,Image,Ability,My Ranking
StoryboardThat,Cartoon,Story,https://www.storyboardthat.com/storyboard-creator,Create your own cartoons,http://tomsmith.webfactional.com/notes/5_Creative_Digital_Tools_That_Bring_Visuals_and_Writing_Together_228AC5AC.png,,
Tiki-Toki,Story,Data,https://www.tiki-toki.com/,Create timelines,http://tomsmith.webfactional.com/notes/Tiki-Toki_Timeline_Maker__Beautiful_web-based_timeline_software_228ACFBB.png,,
oTranscribe,Writing,Tool,https://otranscribe.com/,"This tool doesn't do it for you, but helps you make it easier to transcribe a video by hand.",http://tomsmith.webfactional.com/notes/oTranscribe_228AD390.png,,
Google My Maps,Maps,Creation,https://www.google.com/intl/nl_nl/maps/about/mymaps/,Make and annotate your own maps,http://tomsmith.webfactional.com/notes/My_Maps_-_About_-_Google_Maps_228AD463.png,,
Glitch,Coding,Hosting,https://glitch.com/,"Fork, hack and host your projects. Learn from other people's code",http://tomsmith.webfactional.com/notes/Glitch_228AD5B0.png,,
Plotoverse,Animation,,https://plotaverse.com,A tool to create animations with motion. Limited trial,http://tomsmith.webfactional.com/notes/PLOTAGRAPH®_PRO_228ADADA.png,,
Computorse,Audio,Music,http://computoser.com/,,http://tomsmith.webfactional.com/notes/Computoser_-_unique__computer-generated_music_228AF116.png,,
Carrd,Website,Writing,https://carrd.co/,Create a simple one page site,http://tomsmith.webfactional.com/notes/Carrd_-_Simple__free__fully_responsive_one-page_sites_for_pretty_much_anything_229294EC.png,,
Stringingly,Website,Writing,https://www.strikingly.com/,Create a stunning site for free.,http://tomsmith.webfactional.com/notes/Strikingly_and_MightyText_229295C0.png,,
Shader Frong,Coding,Visual,https://shaderfrog.com/app/,"Create complex GLSL special effects shaders, without coding.",http://tomsmith.webfactional.com/notes/Browse_-_ShaderFrog_com_2292DC2F.png,,
ModSynth,Audio,Toy,http://mod-synth.io/,,http://tomsmith.webfactional.com/notes/MOD_Synth_2292E7EC.png,,
ReCollection,Audio,History,http://because-recollection.com/metronomy,Explore 10 years of sound in the most bizarre way,http://tomsmith.webfactional.com/notes/Because_Recollection__🔊_2292E859.png,,
Pictopic,Writing,Toy,http://www.pictooptic.com/,"Choose a word, and play. Very strange.",http://tomsmith.webfactional.com/notes/Pictooptic_2292EBF8.png,,
Wheel Of Names,Toy,Fun,https://wheelofnames.com/,Make your own spin-o-meter,http://tomsmith.webfactional.com/notes/Wheel_of_Names___Random_Name_Picker_2296AFA1.png,,
Intelloware,Image,Drawing,http://intelloware.com/art/#,Unusual paint tool.,http://tomsmith.webfactional.com/notes/InspirARTion_-_Sketch___Draw__229B1535.png,,
Sketchpad,Image,Drawing,https://sketch.io/sketchpad/,"Really interesting painting tool, with calligraphy",http://tomsmith.webfactional.com/notes/Sketchpad_5_1_-_Draw__Create__Share__and_tomsmith_229B1A0A.png,,
Muro,Image,Drawing,https://muro.deviantart.com/,Lots of interesting brushes,http://tomsmith.webfactional.com/notes/DeviantArt_muro_229B1C63.png,,
